X,Y,GU_NM,THT_HG,BHT_DM,WTRTB_BT,WDPT_NM,CREAT_DE
127.012008206,37.554721085,중구,8.00000000,14.00000000,5.00000000,왕벚나무,
126.996124522,37.561520623,중구,6.00000000,15.00000000,6.00000000,왕벚나무,
126.99811253,37.561307472,중구,4.00000000,12.00000000,4.00000000,왕벚나무,
127.01184492,37.554450382,중구,7.00000000,12.00000000,6.00000000,왕벚나무,
126.995716593,37.555600983,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995702824,37.556989531,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
127.011908883,37.554553123,중구,6.00000000,13.00000000,5.00000000,왕벚나무,
127.011576635,37.554243905,중구,6.00000000,12.00000000,3.00000000,왕벚나무,
126.996192613,37.56000224,중구,5.00000000,14.00000000,6.00000000,왕벚나무,
127.011796155,37.554618339,중구,7.00000000,13.00000000,4.00000000,왕벚나무,
126.995785602,37.555593159,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.996182331,37.560098283,중구,6.00000000,13.00000000,6.00000000,왕벚나무,
126.995967328,37.557338102,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.998021566,37.561069995,중구,6.00000000,14.00000000,4.00000000,왕벚나무,
126.998535244,37.561885769,중구,4.00000000,12.00000000,3.00000000,왕벚나무,
126.996113354,37.561368145,중구,6.00000000,15.00000000,6.00000000,왕벚나무,
126.995681189,37.556406428,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.995827844,37.557378861,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.959651647,37.538416415,용산구,3.00000000,9.00000000,2.00000000,왕벚나무,
126.99568126,37.556277216,중구,7.00000000,12.00000000,6.00000000,왕벚나무,
126.996567303,37.559795492,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
127.011949625,37.554622158,중구,7.00000000,10.00000000,3.00000000,왕벚나무,
126.995706555,37.556113202,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
127.011691205,37.554441824,중구,6.00000000,11.00000000,4.00000000,왕벚나무,
126.996666666,37.559872936,중구,6.00000000,14.00000000,4.00000000,왕벚나무,
126.995786988,37.556850005,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
127.011557115,37.554210906,중구,7.00000000,10.00000000,4.00000000,왕벚나무,
126.996202749,37.558548135,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
127.011690631,37.554178263,중구,6.00000000,13.00000000,5.00000000,왕벚나무,
126.995703156,37.556587972,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
127.011640033,37.554106339,중구,7.00000000,15.00000000,3.00000000,왕벚나무,
127.011886413,37.554518274,중구,7.00000000,14.00000000,5.00000000,왕벚나무,
126.997941782,37.560983148,중구,5.00000000,10.00000000,3.00000000,왕벚나무,
126.997376805,37.560466383,중구,4.00000000,13.00000000,3.00000000,왕벚나무,
126.996066577,37.558727273,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995746392,37.555953862,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.996117495,37.559250061,중구,3.00000000,12.00000000,6.00000000,왕벚나무,
126.995853536,37.557021332,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.996192439,37.558471266,중구,6.00000000,12.00000000,4.00000000,왕벚나무,
126.995573743,37.556575348,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.996248072,37.558808728,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
126.99762935,37.560700981,중구,4.00000000,12.00000000,3.00000000,왕벚나무,
126.997034761,37.560324301,중구,4.00000000,11.00000000,4.00000000,왕벚나무,
126.998388459,37.561771787,중구,5.00000000,11.00000000,3.00000000,왕벚나무,
126.996020612,37.561105862,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996021651,37.56105965,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996019014,37.561012141,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996169079,37.560445926,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996015785,37.560908883,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996123905,37.560892118,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996140218,37.560945474,중구,6.00000000,15.00000000,6.00000000,왕벚나무,
126.996126943,37.561078263,중구,6.00000000,15.00000000,6.00000000,왕벚나무,
126.996116455,37.561132695,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996114188,37.561190395,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
127.011779063,37.554585363,중구,8.00000000,15.00000000,5.00000000,왕벚나무,
126.997324288,37.560410049,중구,4.00000000,1.00000000,4.00000000,왕벚나무,
