fid,tht_hg,bht_dm,wtrtb_bt,wdpt_nm,wdpt_cd,lng,lat
"4631",6,19,6,은행나무,GB,127.052394283,37.451047296
"4632",6,22,5,은행나무,GB,127.045283966,37.47187069
"4633",11,31,10,양버즘나무,PTA,126.999720792,37.478563616
"4634",5,18,4,느티나무,ZS,127.042265332,37.466055483
"4635",7,15,3,메타세쿼이아,TB,127.012437462,37.508522472
"4636",13,37,12,가중나무,AA,127.010358148,37.516885061
"4637",4,13,3,은행나무,GB,127.028055381,37.472278306
"4638",11,36,6,양버즘나무,PTA,126.991723538,37.483094777
"4639",8,26,8,느티나무,ZS,127.062471884,37.456020422
"4640",8,28,7,은행나무,GB,127.010694311,37.493330051
"4641",5,13,3,칠엽수,AC,127.010392974,37.504373099
"4642",5,13,4,은행나무,GB,127.025913465,37.470879339
"4643",12,18,7,양버즘나무,PTA,127.005558567,37.491003019
"4644",11,29,7,양버즘나무,PTA,127.008837614,37.492329399
"4645",8,18,4,느티나무,ZS,127.010289364,37.51251451
"4646",7,15,3,은행나무,GB,127.01037389,37.512454742
"4647",9,24,4,양버즘나무,PTA,127.003795184,37.484635516
"4648",10,27,4,양버즘나무,PTA,127.00400478,37.485822557
"4649",10,25,6,양버즘나무,PTA,127.026236292,37.497648527
"4650",9,28,5,양버즘나무,PTA,126.993261334,37.480703361
"4651",7,12,3,은행나무,GB,127.025870803,37.501154228
"4652",9,22,4,양버즘나무,PTA,127.005747298,37.479921419
"4653",10,27,10,양버즘나무,PTA,127.004461984,37.489264611
"4654",9,33,8,양버즘나무,PTA,127.009646258,37.487421764
"4678",8,24,4,메타세쿼이아,TB,127.030626069,37.47079752
"4655",7,30,5,양버즘나무,PTA,126.989262252,37.478719516
"4656",6,31,10,양버즘나무,PTA,127.014566153,37.489457453
"4657",9,31,12,양버즘나무,PTA,126.994339347,37.486446067
"4658",8,31,6,느티나무,ZS,127.062664407,37.456118202
"4659",12,29,8,양버즘나무,PTA,127.038000981,37.479586984
"4660",6,18,4,은행나무,GB,126.98771741,37.461051995
"4661",8,24,6,메타세쿼이아,TB,127.022643219,37.500099536
"4662",6,24,3,은행나무,GB,126.988443346,37.464133407
"4663",7,24,4,양버즘나무,PTA,127.036620823,37.476704007
"4664",12,47,8,양버즘나무,PTA,127.008912521,37.48894154
"4665",8,20,4,은행나무,GB,127.01704708,37.515390959
"4666",8,32,5,칠엽수,AC,127.011852184,37.502148143
"4667",11,38,8,양버즘나무,PTA,127.00586161,37.49596481
"4668",4,28,12,느티나무,ZS,127.086775451,37.462192853
"4669",11,26,8,양버즘나무,PTA,127.035034488,37.48430559
"4670",12,33,12,느티나무,ZS,127.086374751,37.462276499
"4671",4,11,2,꽃사과,PRS,126.99454569,37.487778191
"4672",7,20,5,은행나무,GB,127.008192864,37.511349803
"4673",7,24,4,은행나무,GB,127.018330349,37.515804391
"4674",13,36,7,양버즘나무,PTA,127.007568197,37.506805656
"4675",6,13,5,회화나무,STJ,127.010732166,37.503176612
"4676",8,18,5,양버즘나무,PTA,127.02782431,37.492317087
"4677",9,21,8,양버즘나무,PTA,127.038439572,37.470832831
"4679",7,13,2,은행나무,GB,127.052449837,37.451188134
"4680",10,25,4,양버즘나무,PTA,127.034751215,37.475587673
"4681",4,11,3,칠엽수,AC,127.012181173,37.49968864
"4682",7,15,2,은행나무,GB,126.992299864,37.493508777
"4683",8,25,4,양버즘나무,PTA,127.034363006,37.465809349
"4684",7,8,2,은행나무,GB,127.037791058,37.459430811
"4685",7,20,5,느티나무,ZS,127.051843572,37.460771343
"4686",11,30,3,양버즘나무,PTA,127.017998795,37.50998436
"4687",14,28,7,양버즘나무,PTA,127.004365497,37.498123327
"4688",5,16,4,칠엽수,AC,127.012459138,37.499653335
"4689",7,28,5,은행나무,GB,127.025392632,37.470251945
"4690",7,15,3,은행나무,GB,127.049371048,37.455889211
"4691",8,25,6,느티나무,ZS,127.069626504,37.456516107
"4692",7,16,2,양버즘나무,PTA,127.033822522,37.475071095
"4693",11,38,8,양버즘나무,PTA,126.982142406,37.481581206
